date,home,away,home_goals,away_goals,competition,is_neutral,city,venue_country,source
2014-06-12,Brazil,Croatia,3,1,FIFA World Cup,False,São Paulo,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-13,Chile,Australia,3,1,FIFA World Cup,True,Cuiabá,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-13,Mexico,Cameroon,1,0,FIFA World Cup,True,Natal,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-13,Spain,Netherlands,1,5,FIFA World Cup,True,Salvador,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-14,Colombia,Greece,3,0,FIFA World Cup,True,Belo Horizonte,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-14,England,Italy,1,2,FIFA World Cup,True,Manaus,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-14,Ivory Coast,Japan,2,1,FIFA World Cup,True,Recife,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-14,Uruguay,Costa Rica,1,3,FIFA World Cup,True,Fortaleza,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,FIFA World Cup,True,Rio de Janeiro,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-15,France,Honduras,3,0,FIFA World Cup,True,Porto Alegre,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-15,Switzerland,Ecuador,2,1,FIFA World Cup,True,Brasília,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-16,Germany,Portugal,4,0,FIFA World Cup,True,Salvador,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-16,Ghana,United States,1,2,FIFA World Cup,True,Natal,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-16,Iran,Nigeria,0,0,FIFA World Cup,True,Curitiba,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-17,Belgium,Algeria,2,1,FIFA World Cup,True,Belo Horizonte,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-17,Brazil,Mexico,0,0,FIFA World Cup,False,Fortaleza,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-17,Russia,South Korea,1,1,FIFA World Cup,True,Cuiabá,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-18,Australia,Netherlands,2,3,FIFA World Cup,True,Curitiba,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-18,Cameroon,Croatia,0,4,FIFA World Cup,True,Manaus,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-18,Spain,Chile,0,2,FIFA World Cup,True,Rio de Janeiro,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-19,Colombia,Ivory Coast,2,1,FIFA World Cup,True,Brasília,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-19,Japan,Greece,0,0,FIFA World Cup,True,Natal,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-19,Uruguay,England,2,1,FIFA World Cup,True,São Paulo,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-20,Honduras,Ecuador,1,2,FIFA World Cup,True,Curitiba,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-20,Italy,Costa Rica,0,1,FIFA World Cup,True,Recife,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-20,Switzerland,France,2,5,FIFA World Cup,True,Salvador,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-21,Argentina,Iran,1,0,FIFA World Cup,True,Belo Horizonte,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-21,Germany,Ghana,2,2,FIFA World Cup,True,Fortaleza,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,FIFA World Cup,True,Cuiabá,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-22,Belgium,Russia,1,0,FIFA World Cup,True,Rio de Janeiro,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-22,South Korea,Algeria,2,4,FIFA World Cup,True,Porto Alegre,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-22,United States,Portugal,2,2,FIFA World Cup,True,Manaus,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-23,Australia,Spain,0,3,FIFA World Cup,True,Curitiba,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-23,Brazil,Cameroon,4,1,FIFA World Cup,False,Brasília,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-23,Croatia,Mexico,1,3,FIFA World Cup,True,Recife,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-23,Netherlands,Chile,2,0,FIFA World Cup,True,São Paulo,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-24,Costa Rica,England,0,0,FIFA World Cup,True,Belo Horizonte,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-24,Greece,Ivory Coast,2,1,FIFA World Cup,True,Fortaleza,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-24,Italy,Uruguay,0,1,FIFA World Cup,True,Natal,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014-06-24,Japan,Colombia,1,4,FIFA World Cup,True,Cuiabá,Brazil,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
