market,selection,bin_start,bin_end,count,avg_predicted_probability,observed_frequency,calibration_error
1X2,away,0.0,0.1,386,0.05087705004428389,0.023316062176165803,-0.027560987868118086
1X2,away,0.1,0.2,368,0.14776349204400463,0.10869565217391304,-0.03906783987009159
1X2,away,0.2,0.3,402,0.2471326706180047,0.19154228855721392,-0.05559038206079078
1X2,away,0.3,0.4,336,0.34804102921672736,0.29464285714285715,-0.05339817207387021
1X2,away,0.4,0.5,299,0.447619956361306,0.3612040133779264,-0.08641594298337962
1X2,away,0.5,0.6,218,0.5465949486625254,0.44036697247706424,-0.1062279761854612
1X2,away,0.6,0.7,177,0.6443142084907748,0.559322033898305,-0.08499217459246977
1X2,away,0.7,0.8,153,0.749906820493745,0.5882352941176471,-0.16167152637609794
1X2,away,0.8,0.9,92,0.8421334389886218,0.7608695652173914,-0.08126387377123045
1X2,away,0.9,1.0,83,0.939793345402621,0.9397590361445783,-3.430925804270846e-05
1X2,draw,0.0,0.1,281,0.05851260322977204,0.05693950177935943,-0.0015731014504126103
1X2,draw,0.1,0.2,653,0.15645232835421932,0.17917304747320062,0.022720719118981297
1X2,draw,0.2,0.3,1428,0.24780807993854548,0.26260504201680673,0.014796962078261255
1X2,draw,0.3,0.4,126,0.32237683861825134,0.23015873015873015,-0.09221810845952119
1X2,home,0.0,0.1,280,0.05169523316904314,0.11785714285714285,0.06616190968809971
1X2,home,0.1,0.2,303,0.15104709074203504,0.2376237623762376,0.08657667163420257
1X2,home,0.2,0.3,359,0.24996154044602226,0.30919220055710306,0.0592306601110808
1X2,home,0.3,0.4,324,0.34604491785987207,0.4444444444444444,0.09839952658457235
1X2,home,0.4,0.5,330,0.44844820652060663,0.5,0.05155179347939337
1X2,home,0.5,0.6,256,0.5474687308860153,0.58203125,0.03456251911398467
1X2,home,0.6,0.7,212,0.6501728035961964,0.6792452830188679,0.029072479422671438
1X2,home,0.7,0.8,198,0.7492318689798295,0.8080808080808081,0.05884893910097855
1X2,home,0.8,0.9,143,0.8459583511896269,0.8391608391608392,-0.0067975120287877555
1X2,home,0.9,1.0,109,0.9395065500543273,0.963302752293578,0.02379620223925072
OU25,over,0.2,0.3,30,0.24255756429349032,0.5333333333333333,0.29077576903984304
OU25,over,0.3,0.4,116,0.36442562510583437,0.5,0.13557437489416563
OU25,over,0.4,0.5,878,0.46224127725781816,0.4145785876993166,-0.04766268955850156
OU25,over,0.5,0.6,1091,0.5456844271004293,0.4986251145737855,-0.047059312526643804
OU25,over,0.6,0.7,396,0.6445511466755685,0.7070707070707071,0.06251956039513862
OU25,under,0.3,0.4,396,0.35544885332443144,0.29292929292929293,-0.06251956039513851
OU25,under,0.4,0.5,1091,0.45431557289957003,0.5013748854262144,0.047059312526644415
OU25,under,0.5,0.6,878,0.5377587227421816,0.5854214123006833,0.047662689558501725
OU25,under,0.6,0.7,116,0.6355743748941656,0.5,-0.13557437489416557
OU25,under,0.7,0.8,30,0.7574424357065096,0.4666666666666667,-0.2907757690398429
