code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
600596,新安股份,农化制品,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,13.09,12.08,12.89,13.13,1,93.0,0603D3｜watch｜scan｜D1较早封板；D1炸板2次；D2量比温和1.24；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
603991,领先股份,半导体,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,110.13,104.00,108.48,110.46,2,92.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；D2量比略高1.54；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
002700,万憬能源,燃气Ⅱ,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,7.94,6.97,7.82,7.96,3,86.0,0603D3｜watch｜scan｜D1未炸板；D2量比略高1.88；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪
603778,国晟科技,光伏设备,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,18.28,16.72,18.01,18.33,4,85.0,0603D3｜watch｜scan｜D1尾盘封板降权；D1炸板1次；D2量比温和1.13；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600758,辽宁能源,煤炭开采,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,5.25,4.69,5.17,5.27,5,84.0,0603D3｜watch｜scan｜D1尾盘封板降权；D1未炸板；封板资金较足；D2量比略高1.31；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪
605566,福莱蒽特,化学制品,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,42.00,37.95,41.37,42.13,6,83.0,0603D3｜watch｜scan｜D1较早封板；D1炸板5次偏多；D2量比温和1.12；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
002955,鸿合科技,光学光电,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,25.15,23.20,24.77,25.23,7,82.0,0603D3｜watch｜scan｜D1炸板1次；D2量比温和1.20；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
600798,宁波海运,航运港口,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,3.65,3.46,3.60,3.66,8,82.0,0603D3｜watch｜scan｜D1炸板2次；D2量比温和1.10；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
600540,新赛股份,种植业,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,4.92,4.54,4.85,4.93,9,82.0,0603D3｜watch｜scan｜D1未炸板；D2量比略高1.54；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中
601699,潞安环能,煤炭开采,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,17.80,16.32,17.53,17.85,10,81.0,0603D3｜watch｜scan｜D1炸板3次偏多；封板资金较足；D2量比略高1.51；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
603819,神力股份,电机Ⅱ,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,13.18,12.58,12.98,13.22,11,80.0,0603D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比温和1.05；D2回落充分；D2收盘离支撑有安全垫；换手适中
002099,海翔药业,化学制药,0603D3,watch,0603D3_watch_scan_20260602_232632.csv,5.97,5.52,5.88,5.99,12,79.0,0603D3｜watch｜scan｜D1尾盘封板降权；D1未炸板；D2量比温和1.13；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
