code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
000586,汇源通信,通信设备,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,16.55,15.22,16.30,16.60,1,134.0,0604D3｜watch｜new_strategy_full｜D1:上午封板；未炸板｜D2:量比可控1.07；准十字/小实体 body=0.22；冲高回落 3.8%；D2低开 -0.1%；收盘涨跌温和 -1.14%；安全垫8.7%；成交额可跟踪
600360,华微电子,半导体,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,12.83,11.61,12.64,12.87,2,132.0,0604D3｜watch｜new_strategy_full｜D1:上午较早封板；未炸板；封板资金尚可｜D2:量比可控2.37；实体中性 body=0.35；冲高回落 3.9%；D2低开 -1.9%；收盘涨跌温和 0.47%；安全垫10.5%；成交额可跟踪
603997,继峰股份,汽车零部,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,15.27,13.73,15.04,15.32,3,120.0,0604D3｜watch｜new_strategy_full｜D1:上午封板；未炸板｜D2:量比可控1.53；准十字/小实体 body=0.20；冲高回落 3.5%；D2平/小高开 0.1%；收盘涨跌温和 1.26%；安全垫11.2%；上影占比0.61过高；成交额可跟踪｜风险:长上影降级
000960,锡业股份,小金属,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,43.75,40.70,43.09,43.88,4,118.0,0604D3｜watch｜new_strategy_full｜D1:午后封板降级；未炸板；封板资金强｜D2:量比可控1.27；标准十字/小实体 body=0.04；回落刚达标 2.7%；D2平/小高开 1.5%；收盘涨跌温和 1.30%；安全垫7.5%；成交额偏拥挤｜风险:午后板；成交拥挤
002876,三利谱,光学光电,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,31.07,27.72,30.60,31.16,5,114.0,0604D3｜watch｜new_strategy_full｜D1:上午封板；未炸板｜D2:量比可控2.14；实体中性 body=0.46；冲高回落 3.1%；D2低开 -1.2%；安全垫12.1%；成交额可跟踪
600345,长江通信,通信设备,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,53.65,47.97,52.85,53.81,6,113.0,0604D3｜watch｜new_strategy_full｜D1:午后封板降级；未炸板；封板资金强｜D2:量比可控1.55；准十字/小实体 body=0.25；冲高回落 4.2%；安全垫11.8%；成交额可跟踪｜风险:午后板
600362,江西铜业,工业金属,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,48.02,44.00,47.30,48.16,7,112.0,0604D3｜watch｜new_strategy_full｜D1:午后封板降级；未炸板；封板资金强｜D2:量比可控1.21；准十字/小实体 body=0.23；回落刚达标 3.0%；收盘涨跌温和 1.14%；安全垫9.1%｜风险:午后板
002314,南山控股,房地产开,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,2.50,2.38,2.46,2.51,8,110.0,0604D3｜watch｜new_strategy_full｜D1:上午封板；未炸板；封板资金尚可｜D2:量比可控1.30；实体中性 body=0.41；冲高回落 6.7%；D2低开 -1.1%；D2偏弱 -4.58%；安全垫5.0%；成交额可跟踪｜风险:偏弱
600114,东睦股份,通用设备,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,39.22,35.96,38.63,39.34,9,107.0,0604D3｜watch｜new_strategy_full｜D1:午后封板降级；炸板1次可接受；封板资金尚可｜D2:量比可控1.30；准十字/小实体 body=0.18；冲高回落 4.3%；D2平/小高开 0.0%；收盘涨跌温和 1.11%；安全垫9.1%；上影占比0.73过高；成交额可跟踪｜风险:午后板；长上影降级
600459,贵研铂业,小金属,0604D3,watch,0604D3_new_strategy_full_watch_scan_20260604_015049.csv,24.20,21.32,23.84,24.27,10,96.0,0604D3｜watch｜new_strategy_full｜D1:上午封板；未炸板；封板资金强｜D2:量比可控1.69；D2实体偏大 body=0.45；冲高回落 3.3%；D2平/小高开 0.2%；安全垫13.5%；成交额可跟踪｜风险:实体偏大
