code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
603315,福鞍股份,环境治理,0615D3,watch,active,0615D3_watch_scan_20260614_233020.csv,16.25,15.54,16.01,16.30,1,97.0,0615D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.56；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
002490,山东墨龙,专用设备,0615D3,watch,active,0615D3_watch_scan_20260614_233020.csv,8.84,8.31,8.71,8.87,2,88.0,0615D3｜watch｜active｜D1较早封板；D1炸板2次；D2量比温和1.10；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪
001268,联合精密,家电零部,0615D3,watch,active,0615D3_watch_scan_20260614_233020.csv,40.81,38.02,40.20,40.93,3,79.0,0615D3｜watch｜active｜D1未炸板；D2量比温和1.00；D2回落充分；D2收盘离支撑有安全垫；换手适中
002824,和胜股份,工业金属,0615D3,watch,active,0615D3_watch_scan_20260614_233020.csv,28.85,26.91,28.42,28.94,4,78.0,0615D3｜watch｜active｜D1较早封板；D1炸板1次；D2量比略高1.29；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
002469,三维化学,化学原料,0615D3,watch,radar,0615D3_watch_scan_20260614_233020.csv,7.34,6.49,7.23,7.36,5,76.0,0615D3｜watch｜radar｜D1炸板2次；D2量比略高1.63；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
000510,新金路,化学原料,0615D3,watch,radar,0615D3_watch_scan_20260614_233020.csv,19.37,16.01,19.08,19.43,6,73.0,0615D3｜watch｜radar｜D1较早封板；D1炸板1次；封板资金较足；D2量比2.14在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
600067,冠城新材,电网设备,0615D3,watch,radar,0615D3_watch_scan_20260614_233020.csv,3.48,2.89,3.43,3.49,7,68.0,0615D3｜watch｜radar｜D1较早封板；D1炸板1次；D2量比2.86在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
001696,宗申动力,通用设备,0615D3,watch,radar,0615D3_watch_scan_20260614_233020.csv,22.84,19.05,22.50,22.91,8,65.0,0615D3｜watch｜radar｜D1炸板2次；封板资金较足；D2量比温和0.64；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额超过20亿强降权；换手适中；D2高强度延续，不直接奖励进active
603399,永杉锂业,能源金属,0615D3,watch,radar,0615D3_watch_scan_20260614_233020.csv,20.45,17.44,20.14,20.51,9,63.0,0615D3｜watch｜radar｜D1未炸板；封板资金较足；D2量比略高1.73；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额超过20亿强降权
000032,深桑达Ａ,专业工程,0615D3,watch,radar,0615D3_watch_scan_20260614_233020.csv,18.92,15.80,18.64,18.98,10,61.0,0615D3｜watch｜radar｜D1较早封板；D1未炸板；D2量比2.90在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额超过15亿降权；换手适中；D2高强度延续，不直接奖励进active
