code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note
002613,北玻股份,玻璃玻纤,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,4.87,4.35,4.80,4.88,1,97.0,8.0,玻璃玻纤同批候选5只，板块聚集；板块D2均涨8.0%；板块内D2强势4只,0617D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.65；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；玻璃玻纤同批候选5只，板块聚集；板块D2均涨8.0%；板块内D2强势4只
002664,信质集团,汽车零部,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,19.56,18.00,19.27,19.62,2,92.0,6.0,汽车零部同批候选3只，板块聚集；板块D2均涨3.9%,0617D3｜watch｜active｜D1未炸板；D2量比温和1.09；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；汽车零部同批候选3只，板块聚集；板块D2均涨3.9%
000411,英特集团,医药商业,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,10.10,9.50,9.95,10.13,3,84.0,-4.0,医药商业同批候选1只；板块D2均跌3.3%,0617D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比温和1.13；D2有冲高回落；D2收盘离支撑有安全垫；医药商业同批候选1只；板块D2均跌3.3%
603093,南华期货,多元金融,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,21.65,19.12,21.33,21.71,4,78.0,2.0,多元金融同批候选1只；板块D2均涨2.9%,0617D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.94在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；多元金融同批候选1只；板块D2均涨2.9%
002990,盛视科技,计算机设,0617D3,watch,radar,0617D3_watch_scan_20260617_002556.csv,54.41,45.50,53.59,54.57,5,89.0,8.0,计算机设同批候选2只；板块D2均涨10.0%；板块内D2强势2只,0617D3｜watch｜radar｜D1未炸板；封板资金较足；D2量比温和1.11；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；中高价54谨慎；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；计算机设同批候选2只；板块D2均涨10.0%；板块内D2强势2只
002552,宝鼎科技,元件,0617D3,watch,radar,0617D3_watch_scan_20260617_002556.csv,70.93,62.70,69.87,71.14,6,86.0,8.0,元件同批候选9只，板块聚集；板块D2均涨7.5%；板块内D2强势8只,0617D3｜watch｜radar｜D1较早封板；D1炸板2次；D2量比温和0.62；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；中高价70谨慎；成交额可跟踪；D2高强度延续，不直接奖励进active；元件同批候选9只，板块聚集；板块D2均涨7.5%；板块内D2强势8只
002824,和胜股份,工业金属,0617D3,watch,radar,0617D3_watch_scan_20260617_002556.csv,34.91,29.23,34.39,35.01,7,86.0,4.0,工业金属同批候选2只；板块D2均涨4.1%,0617D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.99；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；工业金属同批候选2只；板块D2均涨4.1%
002913,奥士康,元件,0617D3,watch,radar,0617D3_watch_scan_20260617_002556.csv,65.79,56.53,64.80,65.99,8,85.0,8.0,元件同批候选9只，板块聚集；板块D2均涨7.5%；板块内D2强势8只,0617D3｜watch｜radar｜D1未炸板；D2量比略高1.99；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；中高价65谨慎；成交额可跟踪；换手适中；元件同批候选9只，板块聚集；板块D2均涨7.5%；板块内D2强势8只
600237,铜峰电子,元件,0617D3,watch,radar,0617D3_watch_scan_20260617_002556.csv,11.42,9.88,11.25,11.45,9,85.0,8.0,元件同批候选9只，板块聚集；板块D2均涨7.5%；板块内D2强势8只,0617D3｜watch｜radar｜D1较早封板；D1炸板1次；封板资金较足；D2量比2.16在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；元件同批候选9只，板块聚集；板块D2均涨7.5%；板块内D2强势8只
600545,卓郎智能,专用设备,0617D3,watch,radar,0617D3_watch_scan_20260617_002556.csv,6.58,5.56,6.48,6.60,10,85.0,8.0,专用设备同批候选3只，板块聚集；板块D2均涨8.8%；板块内D2强势3只,0617D3｜watch｜radar｜D1较早封板；D1炸板1次；D2量比略高1.85；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；专用设备同批候选3只，板块聚集；板块D2均涨8.8%；板块内D2强势3只
