tag,rank,code,name,industry,pool_subtype,score,price,pct,amount_yi,turnover,seal_fund_yi,fbt,breaks,limit_boards,trigger_price,zone_low,zone_high,invalid_price,note
二进三,1,002672,东江环保,环境治理,radar,80,4.13,10.133333206176758,1.91998863,5.298731327056885,0.32684774,28:01:58,0,2,4.13,3.96,4.21,3.72,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛
二进三,2,605377,华旺科技,造纸,radar,80,9.24,10.0,1.44211381,2.860748291015625,0.42172875,30:33:34,0,2,9.24,8.87,9.42,8.32,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛
二进三,3,000783,长江证券,证券Ⅱ,radar,75,9.46,10.0,28.39267872,5.458518981933594,2.03307499,25:52:01,0,2,9.46,9.08,9.65,8.51,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：成交拥挤
二进三,4,600400,红豆股份,服装家纺,radar,74,3.26,10.13513469696045,3.33906592,4.565211772918701,0.30902032,25:59:17,1,2,3.26,3.13,3.33,2.93,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛
二进三,5,000571,新大洲A,煤炭开采,radar,72,6.41,9.948541641235352,5.46533488,10.630592346191406,0.2121442,28:07:10,0,2,6.41,6.15,6.54,5.77,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛
二进三,6,605580,恒盛能源,电力,radar,72,29.07,9.988649368286133,7.7104456,9.793928146362305,0.18203634,31:20:50,0,2,29.07,27.91,29.65,26.16,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛
二进三,7,605069,正和生态,环境治理,radar,67,13.4,10.016420364379883,0.87851514,3.127340316772461,0.4394932,25:41:42,1,2,13.4,12.86,13.67,12.06,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛
二进三,8,603938,三孚股份,化学原料,radar,65,65.12,10.0,24.2080712,10.043055534362793,0.93445051,27:53:31,1,2,65.12,62.52,66.42,58.61,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：成交拥挤
二进三,9,601869,长飞光纤,通信设备,radar,63,570.58,9.999807357788086,129.28875264,5.6741414070129395,2.35160552,28:30:25,1,2,570.58,547.76,581.99,513.52,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：成交拥挤; 高价股
二进三,10,002830,名雕股份,装修装饰,radar,51,17.77,10.030959129333496,2.78089648,17.20290184020996,0.0132422,26:10:45,6,2,17.77,17.06,18.13,15.99,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：换手偏高; 炸板偏多
二进三,11,000070,特发信息,通信设备,radar,48,25.08,10.0,34.2421072,16.049516677856445,1.39768833,25:54:17,8,2,25.08,24.08,25.58,22.57,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：成交拥挤; 换手偏高; 炸板偏多
二进三,12,600470,六国化工,农化制品,radar,46,6.5,9.98307991027832,6.3430128,18.995872497558594,0.097461,26:27:05,9,2,6.5,6.24,6.63,5.85,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：换手偏高; 炸板偏多
二进三,13,600172,黄河旋风,通用设备,radar,38,16.95,9.993510246276855,54.722368,25.55646514892578,1.03258383,25:55:42,7,2,16.95,16.27,17.29,15.25,二进三|D2=20260623｜评分/成交/换手/炸板等不符合active门槛｜风险：成交拥挤; 换手偏高; 炸板偏多
