code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount,position_status
601702,华峰铝业,工业金属,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,20.26,18.70,19.96,20.32,1,89.0,0602D3｜watch｜scan｜D1炸板1次；D2量比温和0.88；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪｜manual_review｜tier=core｜0601D3策略结论复核后保留,,,,,,,
600979,广安爱众,电力,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,5.27,4.82,5.19,5.29,2,81.0,0602D3｜watch｜scan｜D1炸板1次；D2量比略高1.39；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中｜manual_review｜tier=core｜0601D3策略结论复核后保留,,,,,,,
600622,光大嘉宝,房地产开,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,2.65,2.46,2.61,2.66,3,91.0,0602D3｜watch｜scan｜D1较早封板；D1炸板2次；D2量比温和1.18；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中｜manual_review｜tier=strong_confirm｜0601D3策略结论复核后保留,,,,,,,
002251,步步高,一般零售,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,5.00,4.45,4.92,5.01,4,90.0,0602D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.45；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪｜manual_review｜tier=strong_confirm｜0601D3策略结论复核后保留,,,,,,,
601566,九牧王,服装家纺,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,12.74,10.99,12.55,12.78,5,88.0,0602D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比温和1.24；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中｜manual_review｜tier=strong_confirm｜0601D3策略结论复核后保留,,,,,,,
000799,酒鬼酒,白酒Ⅱ,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,45.30,41.58,44.62,45.44,6,88.0,0602D3｜watch｜scan｜D1炸板2次；D2量比温和1.06；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中｜manual_review｜tier=strong_confirm｜0601D3策略结论复核后保留,,,,,,,
002824,和胜股份,工业金属,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,25.57,24.43,25.19,25.65,7,82.0,0602D3｜watch｜scan｜D1未炸板；封板资金较足；D2量比略高1.72；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中｜manual_review｜tier=strong_confirm｜0601D3策略结论复核后保留,,,,,,,
001269,欧晶科技,光伏设备,0602D3,watch,0602D3_watch_manual_review_20260602_074941.csv,26.08,24.22,25.69,26.16,8,79.0,0602D3｜watch｜scan｜D1较早封板；D1未炸板；D2量比2.68在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中｜manual_review｜tier=strong_confirm｜0601D3策略结论复核后保留,,,,,,,
600863,华能蒙电,电力,HOLD,position,HOLD_position_rollover_20260528_214902.csv,6.10,5.39,6.01,6.12,1,90,0528D4｜position｜0527D3买入｜成本6.170｜数量600｜0527D3｜candidate｜source:0527D3_candidate_AND_174309.csv｜原rank:2｜未炸板；量比温和1.23；有冲高回落；安全垫足；盘中上冲明显；成交可跟踪；换手适中｜0528D3卖出均价6.970｜实现毛利480.00｜含费净利472.87,2026-05-27,0527D3,6.170,600,0,3702.00,closed
603303,得邦照明,照明设备,HOLD,position,HOLD_position_rollover_20260528_214902.csv,25.79,22.56,25.40,25.87,7,68,0528D4｜position｜0527D3买入｜成本25.440｜数量200｜0527D3｜candidate｜source:0527D3_candidate_AND_174309.csv｜原rank:9｜炸板14次偏多；封板资金弱；量比略高1.29；回落充分；安全垫足；盘中上冲明显；成交可跟踪｜0528D3卖出均价25.615｜实现毛利35.00｜含费净利22.39,2026-05-27,0527D3,25.440,200,0,5088.00,closed
