code,name,industry,stage,pool_type,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
600301,华锡有色,小金属,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,66.55,56.10,65.55,66.75,1,109.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.85；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察｜manual_review｜tier=strong_confirm｜0601-0602漏强复盘后加入强势确认观察,,,,,,
001210,金房能源,电力,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,36.86,30.60,36.31,36.97,3,105.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.49；D2强势延续；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察｜manual_review｜tier=strong_confirm｜0601-0602漏强复盘后加入强势确认观察,,,,,,
600367,红星发展,化学原料,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,38.84,33.90,38.26,38.96,4,100.0,0603D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比略高1.92；D2强势延续；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察｜manual_review｜tier=strong_confirm｜0601-0602漏强复盘后加入强势确认观察,,,,,,
000055,方大集团,装修建材,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,4.19,3.46,4.13,4.20,5,97.0,0603D3｜watch｜scan｜D1较早封板；D1炸板1次；D2量比略高1.69；D2强势延续；D2收盘离支撑有安全垫；D2收盘近十字；换手适中；D2高强度延续，归入强势确认观察｜manual_review｜tier=strong_confirm｜0601-0602漏强复盘后加入强势确认观察,,,,,,
600121,郑州煤电,煤炭开采,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,5.17,4.27,5.09,5.19,6,95.0,0603D3｜watch｜scan｜D1未炸板；D2量比略高1.66；D2强势延续；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；D2高强度延续，归入强势确认观察｜manual_review｜tier=strong_confirm｜0601-0602漏强复盘后加入强势确认观察,,,,,,
603991,领先股份,半导体,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,110.13,104.00,108.48,110.46,8,92.0,0603D3｜watch｜scan｜D1较早封板；D1未炸板；D2量比略高1.54；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中｜manual_review｜tier=low_entry｜保留低吸观察核心,,,,,,
002700,万憬能源,燃气Ⅱ,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,7.94,6.97,7.82,7.96,9,86.0,0603D3｜watch｜scan｜D1未炸板；D2量比略高1.88；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪｜manual_review｜tier=low_entry｜保留低吸观察核心,,,,,,
002955,鸿合科技,光学光电,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,25.15,23.20,24.77,25.23,10,82.0,0603D3｜watch｜scan｜D1炸板1次；D2量比温和1.20；D2有冲高回落；D2收盘离支撑有安全垫；成交额可跟踪；换手适中｜manual_review｜tier=low_entry｜保留低吸观察核心,,,,,,
600540,新赛股份,种植业,0603D3,watch,0603D3_watch_manual_review_20260603_082941.csv,4.92,4.54,4.85,4.93,11,82.0,0603D3｜watch｜scan｜D1未炸板；D2量比略高1.54；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中｜manual_review｜tier=low_entry｜保留低吸观察核心,,,,,,
000539,粤电力A,,HOLD,position,data/trades/tulong_trades.csv,8.530,7.848,8.402,8.556,,,HOLD｜from_trades｜entry_stage=0603D3｜quantity=300｜entry_price=8.530,2026-06-03,0603D3,8.530,300,0,2564.05
001269,欧晶科技,,HOLD,position,data/trades/tulong_trades.csv,25.930,23.856,25.541,26.008,,,HOLD｜from_trades｜entry_stage=0602D3｜quantity=200｜entry_price=25.930,2026-06-02,0602D3,25.930,200,200,5191.05
002421,达实智能,IT服务Ⅱ,HOLD,position,data/trades/tulong_trades.csv,4.97,4.11,4.90,4.98,2,106.0,HOLD｜from_trades｜entry_stage=0603D3｜quantity=1100｜entry_price=4.970,2026-06-03,0603D3,4.970,1100,0,5472.05
600160,巨化股份,,HOLD,position,data/trades/tulong_trades.csv,38.917,35.803,38.333,39.033,,,HOLD｜from_trades｜entry_stage=0603D3｜quantity=300｜entry_price=38.917,2026-06-03,0603D3,38.917,300,0,11685.10
600596,新安股份,农化制品,HOLD,position,data/trades/tulong_trades.csv,13.09,12.08,12.89,13.13,7,93.0,HOLD｜from_trades｜entry_stage=0603D3｜quantity=300｜entry_price=13.540,2026-06-03,0603D3,13.540,300,0,4067.05
