code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
001256,炜冈科技,专用设备,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,24.64,22.56,24.27,24.71,1,92.0,0609D3｜watch｜active｜D1炸板2次；D2量比温和1.21；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中,,,,,,
600303,曙光股份,商用车,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,3.42,3.15,3.37,3.43,2,90.0,0609D3｜watch｜active｜D1未炸板；D2量比温和1.13；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中,,,,,,
002983,芯瑞达,光学光电,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,23.99,22.58,23.63,24.06,3,87.0,0609D3｜watch｜active｜D1未炸板；D2量比温和0.98；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；换手适中,,,,,,
002194,武汉凡谷,通信设备,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,12.42,11.20,12.23,12.46,5,84.0,0609D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.54在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中,,,,,,
600819,耀皮玻璃,玻璃玻纤,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,6.72,6.40,6.62,6.74,6,84.0,0609D3｜watch｜active｜D1未炸板；D2量比温和0.92；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字,,,,,,
000725,京东方A,,HOLD,position,hold,data/trades/tulong_trades.csv,6.400,5.888,6.304,6.419,,,HOLD｜from_trades｜entry_stage=0609D3｜quantity=500｜entry_price=6.400,2026-06-09,0609D3,6.400,500,0,3205.03
002460,赣锋锂业,,HOLD,position,hold,data/trades/tulong_trades.csv,67.590,62.183,66.576,67.793,,,HOLD｜from_trades｜entry_stage=0609D3｜quantity=100｜entry_price=67.590,2026-06-09,0609D3,67.590,100,0,6764.07
002631,德尔未来,,HOLD,position,hold,data/trades/tulong_trades.csv,8.030,7.388,7.910,8.054,,,HOLD｜from_trades｜entry_stage=0609D3｜quantity=400｜entry_price=8.030,2026-06-09,0609D3,8.030,400,0,3217.03
601991,大唐发电,,HOLD,position,hold,data/trades/tulong_trades.csv,7.480,6.882,7.368,7.502,,,HOLD｜from_trades｜entry_stage=0609D3｜quantity=500｜entry_price=7.480,2026-06-09,0609D3,7.480,500,0,3745.04
603270,金帝股份,通用设备,HOLD,position,hold,data/trades/tulong_trades.csv,30.08,27.06,29.63,30.17,4,86.0,HOLD｜from_trades｜entry_stage=0609D3｜quantity=200｜entry_price=30.060,2026-06-09,0609D3,30.060,200,0,6022.06
