code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
603861,白云电器,电网设备,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,15.89,14.98,15.65,15.94,1,86.0,2.0,电网设备同批候选2只,0618D3｜watch｜active｜D1未炸板；D2量比温和0.85；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；电网设备同批候选2只,,,,,,
000048,京基智农,养殖业,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,19.13,17.37,18.84,19.19,2,85.0,0.0,养殖业同批候选1只,0618D3｜watch｜active｜D1未炸板；D2量比略高1.46；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；养殖业同批候选1只,,,,,,
605588,冠石科技,光学光电,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,63.05,56.50,62.10,63.24,3,85.0,6.0,光学光电同批候选2只；板块D2均涨5.9%,0618D3｜watch｜active｜D1炸板1次；封板资金偏弱；D2量比温和1.21；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；中高价63谨慎；成交额可跟踪；换手适中；光学光电同批候选2只；板块D2均涨5.9%,,,,,,
001266,宏英智能,自动化设,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,50.82,45.60,50.06,50.97,4,84.0,2.0,自动化设同批候选2只,0618D3｜watch｜active｜D1未炸板；D2量比略高1.86；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；中高价50谨慎；成交额可跟踪；换手适中；自动化设同批候选2只,,,,,,
000791,甘肃能源,电力,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,9.22,8.83,9.08,9.25,5,82.0,0.0,电力同批候选1只,0618D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.28在2-3倍，需其他条件补强；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；电力同批候选1只,,,,,,
002346,柘中股份,电网设备,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,18.33,16.48,18.06,18.38,6,79.0,2.0,电网设备同批候选2只,0618D3｜watch｜active｜D1未炸板；D2量比略高1.49；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；电网设备同批候选2只,,,,,,
002240,盛新锂能,,HOLD,position,hold,data/trades/tulong_trades.csv,49.750,45.770,49.004,49.899,,,,,HOLD｜from_trades｜entry_stage=0615D3｜quantity=100｜entry_price=49.750,2026-06-15,0615D3,49.750,100,100,4980.05
002364,中恒电气,,HOLD,position,hold,data/trades/tulong_trades.csv,53.410,49.137,52.609,53.570,,,,,HOLD｜from_trades｜entry_stage=0617D3｜quantity=100｜entry_price=53.410,2026-06-17,0617D3,53.410,100,100,5346.05
002745,木林森,,HOLD,position,hold,data/trades/tulong_trades.csv,10.870,10.000,10.707,10.903,,,,,HOLD｜from_trades｜entry_stage=0617D3｜quantity=300｜entry_price=10.870,2026-06-17,0617D3,10.870,300,300,3266.03
600183,生益科技,,HOLD,position,hold,data/trades/tulong_trades.csv,183.755,169.055,180.999,184.306,,,,,HOLD｜from_trades｜entry_stage=0617D3｜quantity=200｜entry_price=183.755,2026-06-17,0617D3,183.755,200,200,36761.37
