code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note,entry_date,entry_stage,entry_price,quantity,sellable_quantity,cost_amount
002613,北玻股份,玻璃玻纤,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,4.87,4.35,4.80,4.88,1,97.0,8.0,玻璃玻纤同批候选5只，板块聚集；板块D2均涨8.0%；板块内D2强势4只,0617D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比略高1.65；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；玻璃玻纤同批候选5只，板块聚集；板块D2均涨8.0%；板块内D2强势4只,,,,,,
002664,信质集团,汽车零部,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,19.56,18.00,19.27,19.62,2,92.0,6.0,汽车零部同批候选3只，板块聚集；板块D2均涨3.9%,0617D3｜watch｜active｜D1未炸板；D2量比温和1.09；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；汽车零部同批候选3只，板块聚集；板块D2均涨3.9%,,,,,,
000411,英特集团,医药商业,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,10.10,9.50,9.95,10.13,3,84.0,-4.0,医药商业同批候选1只；板块D2均跌3.3%,0617D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比温和1.13；D2有冲高回落；D2收盘离支撑有安全垫；医药商业同批候选1只；板块D2均跌3.3%,,,,,,
603093,南华期货,多元金融,0617D3,watch,active,0617D3_watch_scan_20260617_002556.csv,21.65,19.12,21.33,21.71,4,78.0,2.0,多元金融同批候选1只；板块D2均涨2.9%,0617D3｜watch｜active｜D1较早封板；D1未炸板；D2量比2.94在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；多元金融同批候选1只；板块D2均涨2.9%,,,,,,
000759,中百集团,,HOLD,position,hold,data/trades/tulong_trades.csv,6.100,5.612,6.008,6.118,,,,,HOLD｜from_trades｜entry_stage=0616D3｜quantity=600｜entry_price=6.100,2026-06-16,0616D3,6.100,600,600,3665.04
001268,联合精密,,HOLD,position,hold,data/trades/tulong_trades.csv,41.340,38.033,40.720,41.464,,,,,HOLD｜from_trades｜entry_stage=0615D3｜quantity=100｜entry_price=41.340,2026-06-15,0615D3,41.340,100,100,4139.04
002155,湖南黄金,,HOLD,position,hold,data/trades/tulong_trades.csv,26.590,24.463,26.191,26.670,,,,,HOLD｜from_trades｜entry_stage=0616D3｜quantity=200｜entry_price=26.590,2026-06-16,0616D3,26.590,200,200,5323.05
002240,盛新锂能,,HOLD,position,hold,data/trades/tulong_trades.csv,50.517,46.475,49.759,50.668,,,,,HOLD｜from_trades｜entry_stage=0612D3/0615D3｜quantity=300｜entry_price=50.517,2026-06-12,0612D3/0615D3,50.517,300,300,15170.15
600183,生益科技,,HOLD,position,hold,data/trades/tulong_trades.csv,182.560,167.955,179.822,183.108,,,,,HOLD｜from_trades｜entry_stage=0616D3｜quantity=100｜entry_price=182.560,2026-06-16,0616D3,182.560,100,100,18261.18
600601,方正科技,,HOLD,position,hold,data/trades/tulong_trades.csv,13.570,12.484,13.366,13.611,,,,,HOLD｜from_trades｜entry_stage=0616D3｜quantity=400｜entry_price=13.570,2026-06-16,0616D3,13.570,400,400,5433.05
